#node	x	y	z	sigma_11
#3808[12402,6185,931,6122,12403,6186,932,6123]
6186,	0,	0.01020,	0.5	0.0150294	0.0808013	1.183140	-0.00280862	-0.0984844	-0.000734355
12403,	0,	0.0137059,	0.5	-0.00950651	0.0248561	1.021190	-0.00458564	-0.0984008	0.000104439
#3872[12465,12402,6122,6059,12466,12403,6123,6060]
12403,	0,	0.0137059,	0.5	0.0108068	0.0722539	1.041500	-0.00454365	-0.0969238	0.000104439
12466,	0,	0.0172118,	0.5	-0.00909403	0.0185792	0.882488	-0.00457192	-0.0968503	-6.26579e-05
#3936[12528,12465,6059,5996,12529,12466,6060,5997]
12466,	0,	0.0172118,	0.5	0.0114036	0.066407	0.902986	-0.00448115	-0.0958612	-6.26579e-05
12529,	0,	0.0207176,	0.5	-0.00935321	0.012557	0.744243	-0.00452266	-0.0957983	-2.20831e-05
#4000[12591,12528,5996,5933,12592,12529,5997,5934]
12529,	0,	0.0207176,	0.5	0.011007	0.0600641	0.764603	-0.00444519	-0.0949021	-2.20831e-05
12592,	0,	0.0242235,	0.5	-0.00936166	0.00655154	0.606596	-0.00452619	-0.0948497	-2.44934e-05
#4064[12654,12591,5933,5870,12655,12592,5934,5871]
12592,	0,	0.0242235,	0.5	0.0107767	0.0535411	0.626734	-0.00444829	-0.0941284	-2.44934e-05
12655,	0,	0.0277294,	0.5	-0.00944364	0.000230769	0.469254	-0.0045182	-0.0940865	-1.80016e-05
#4128[12717,12654,5870,5807,12718,12655,5871,5808]
12655,	0,	0.0277294,	0.5	0.0105504	0.0468836	0.489248	-0.00444291	-0.0935231	-1.80016e-05
12718,	0,	0.0312353,	0.5	-0.00953671	-0.00626129	0.332185	-0.00451356	-0.0934917	-1.3356e-05
#4192[12780,12717,5807,5744,12781,12718,5808,5745]
12718,	0,	0.0312353,	0.5	0.0103437	0.0401263	0.352066	-0.00444021	-0.0930897	-1.3356e-05
12781,	0,	0.0347412,	0.5	-0.00964935	-0.012901	0.195301	-0.00450997	-0.0930688	-8.32818e-06
#4256[12843,12780,5744,5681,12844,12781,5745,5682]
12781,	0,	0.0347412,	0.5	0.0101557	0.0333109	0.215106	-0.00443872	-0.0928275	-8.32818e-06
12844,	0,	0.0382471,	0.5	-0.00978058	-0.0196457	0.0585209	-0.00450765	-0.092817	-3.38044e-06
#4320[12906,12843,5681,5618,12907,12844,5682,5619]
12844,	0,	0.0382471,	0.5	0.00998662	0.0264778	0.0782881	-0.00443845	-0.0927367	-3.38044e-06
12907,	0,	0.0417529,	0.5	-0.00993089	-0.0264539	-0.0782336	-0.00450661	-0.0927367	1.59053e-06
#4384[12969,12906,5618,5555,12970,12907,5619,5556]
12907,	0,	0.0417529,	0.5	0.00983631	0.0196695	-0.0584664	-0.00443949	-0.092817	1.59053e-06
12970,	0,	0.0452588,	0.5	-0.01010	-0.033287	-0.215052	-0.00450687	-0.0928275	6.53152e-06
#4448[13032,12969,5555,5492,13033,12970,5556,5493]
12970,	0,	0.0452588,	0.5	0.00970509	0.0129249	-0.195247	-0.00444181	-0.0930688	6.53152e-06
13033,	0,	0.0487647,	0.5	-0.010288	-0.0401024	-0.352011	-0.00450837	-0.0930898	1.16137e-05
#4512[13095,13032,5492,5429,13096,13033,5493,5430]
13033,	0,	0.0487647,	0.5	0.00959244	0.00628527	-0.332131	-0.00444539	-0.0934916	1.16137e-05
13096,	0,	0.0522706,	0.5	-0.0104945	-0.0468595	-0.489193	-0.00451122	-0.0935231	1.60339e-05
#4576[13158,13095,5429,5366,13159,13096,5430,5367]
13096,	0,	0.0522706,	0.5	0.00949884	-0.000208399	-0.46920	-0.00445021	-0.0940868	1.60339e-05
13159,	0,	0.0557765,	0.5	-0.0107208	-0.0535185	-0.62668	-0.00451516	-0.0941288	2.36601e-05
#4640[13221,13158,5366,5303,13222,13159,5367,5304]
13159,	0,	0.0557765,	0.5	0.00942291	-0.00651651	-0.606537	-0.00445663	-0.0948482	2.36601e-05
13222,	0,	0.0592824,	0.5	-0.0109622	-0.0600359	-0.76455	-0.00452007	-0.0949007	1.59358e-05
#4704[13284,13221,5303,5240,13285,13222,5304,5241]
13222,	0,	0.0592824,	0.5	0.00937473	-0.012583	-0.744213	-0.0044617	-0.0958054	1.59358e-05
13285,	0,	0.0627882,	0.5	-0.0112427	-0.0663746	-0.902901	-0.00453499	-0.0958683	8.11243e-05
#4768[13347,13284,5240,5177,13348,13285,5241,5178]
13285,	0,	0.0627882,	0.5	0.00927371	-0.018503	-0.882384	-0.00448706	-0.0968158	8.11243e-05
13348,	0,	0.0662941,	0.5	-0.0113763	-0.0724921	-1.04170	-0.00448417	-0.0968892	-0.000190731
#4832[4856,13347,5177,835,4857,13348,5178,836]
13348,	0,	0.0662941,	0.5	0.00966974	-0.0233846	-1.02065	-0.00440224	-0.0985676	-0.000190731
4857	0,	0.06980,	0.5	-0.0128571	-0.0785009	-1.18185	-0.00471484	-0.0986514	0.000980186
#3296[2889,12150,12087,2826,2890,12151,12088,2827]
#12151,	0,	0.0733794,	0.5	-0.0375941	0.00964375	-1.30901	-0.00886705	-0.11958	0.00277824
#2890,	0,	0.07480,	0.5	-0.0519427	-0.0163105	-1.38189	-0.0132294	-0.119628	0.00313735
